Frontside,Flipside,Category,Level
inconceivable,"غیر قابل تصور







unimaginable





too strange or unusual to be thought real or possible=It is inconceivable that a man in such a powerful position could act so unwisely.",,0
inconclusive,"بی نتیجه







without result





A coalition government was formed after inconclusive elections.",,0
incorporate,"ادغام کردن، ترکیب کردن








include: merge




incorporate something into/in something = We’ve incorporated many environmentally friendly features into the design of the building. Our original proposals were not incorporated in the new legislation.",,0
incursion,"تهاجم، تاخت و تاز






invasion




1)invasion,a sudden attack into an area that belongs to other people.2)the sudden arrival of something or someone into a place or activity =1)incursion into=a combined British and French incursion into China in 1857.2) The media was criticized for its thoughtless incursion into the domestic grief of the family.",,0
indicate,"، ثابت کردن نشان دادن






demonstrate, imply





This section will attempt to demonstrate how the Bank of England operates",,0
indication,"نشانه





sign




Dark green leaves are a good indication of healthy roots",,0
indigenous,"بومی






native




the many indigenous cultures which existed in Siberia",,0
indiscriminately,"بدون نظم و فکر، تصادفی






at random, arbitrarily, haphazardly





an indiscriminate combination of colors and styles.",,0
indispensable,"ضروری






essential: necessary: needed: required: significant: vital





This book is indispensable to anyone interested in space exploration",,0
indistinct,"نا معلوم






not clear






My memory of what happened next is indistinct.",,0
induce,"وادار کردن، تحریک کردن







bring about: bring: cause, give rise to, produce





Lower interest rates would induce customers to borrow more.",,0
inducement,"انگیزه







incentive, motivation, impetus





financial inducements to attract good job candidates",,0
ineffectively,"غیرموثر







without any result





This half measure was as ineffective as was to have been expected",,0
inert,"، بی انگیزه ، بی احساس ، ساکن







motionless: motiveless, immobile





He lay, inert, in his bed",,0
inevitable,"اجتناب ناپذیر







unavoidable





It’s inevitable that doctors will make the occasional mistake",,0
inference,"استنتاج






conclusion, deduction, a conclusion reached on the basis of evidence and reasoning





What inferences have you drawn from this evidence?",,0
infirm,"ناتوان، ضعیف







weak, feeble





Her grandmother is elderly and infirm",,0
inflate,"بزرگ کردن، بادکردن، افزایش دادن






expand,1) to fill something with air or gas 2) to make something seem more important or impressive than it really is






1)The numbers of people involved have been grossly inflated by the media. 2) Her life jacket failed to inflate",,0
inflict,"تحمیل کردن، وادارکردن







bring about: impose;to make someone suffer something unpleasant





to make someone suffer something unpleasant: inflict something on/upon somebody = The strikes inflicted serious damage on the economy. Detectives warned that the men could inflict serious injury.",,0
infrastructure,"زیرساخت، ساختار







foundation




Some countries lack a suitable economic infrastructure",,0
ingenious,"خلاق، باهوش، مبترک، مخترع







very clever, intelligent, smart, astute





he was ingenious enough to overcome the limited budget",,0
ingenuity,"نبوغ، استعداد، قوه ابتکار







cleverness: creativeness: inventiveness: resourcefulness





In every way - performance, build quality, ingenuity of design - it is the better car",,0
inherent,"ذاتی، بالقوه، طبیعی، اصلی
<b>





</b>essential,essential: in characteristic: instinctive: internal
<b>





</b>Every business has its own inherent risks",,0
inhibit,"محدودکردن، کاستن







decrease, hinder, hamper




1 to prevent something from growing or developing well An unhappy family life may inhibit children’s learning. 2 to make someone feel embarrassed or nervous so that they cannot do or say what they want to inhibit somebody from doing something Recording the meeting may inhibit people from expressing their real views.",,0
inhospitable,"ناخوشایند، نامهربان






unfavorable, adverse, unkind





an inhospitable climate",,0
initial,"اولیه، ابتدایی






first, in the beginning





an initial investment of £5,000",,0
innovation,"نوآوری







new, novelty





1 [countable] a new idea, method, or invention innovation in recent innovations in English teaching 2 [uncountable] the introduction of new ideas or methods We must encourage innovation if the company is to remain competitive. innovation in We need to encourage innovation in industry. Many people feel bewildered by the speed of technological innovation.",,0
inordinate,"بیش از حد معمول و لازم، افراط







excessive





Testing is taking up an inordinate amount of teachers’ time.",,0
insight into,"آگاهی داشتن نسبت به







perceive, comprehension into",,0
insistent,"، مقاوم،مصر، با اصرار زیاد







persistent, determined





1 demanding firmly and repeatedly that something should happen insistent that She was insistent that they should all meet for dinner. insistent on They were insistent on good manners. 2 making a continuous pattern of sounds that is difficult to ignore the music’s insistent rhythm",,0
install,"نصب، راه اندازی







put in place, mount





Security cameras have been installed in the city centre",,0
instant,"فوری، در لحظه







[adjective]: immediate [noun]: a moment





adjective: an instant success. noun:She caught his eye for an instant",,0
instigate,"تحریک کردن، وادار کردن






incite, stimulate





to persuade someone to do something bad or violent = He accused union leaders of instigating the disturbances.",,0
institute,"موسسه، بنیاد نهادن







[verb]: establishe-to introduce or start a system[noun]: academy.





noun:research institutes. verb: We had no choice but to institute court proceedings against the airline",,0
instructive,"آموزنده و مفید







informative





Thank you, that was very instructive",,0
insufficient,"ناکافی






inadequate, not enough






His salary was insufficient for their needs.",,0
intact,"سالم، دست نخورده







untouched, complete





His reputation survived intact",,0
initial,"آغاز کردن، در آغاز قرار دادن







in the begining, first




The two countries have initialled a new defence co-operation agreement",,0
initially,"در ابتدا






originally, at first [adv]






Initially, I thought I would only stay there a year",,0
initiate,"آغاز، وارد کردن






start: begin [v]





Who initiated the violence?",,0
innovative,"خلاقانه، جدید-خلاق






new, using clever new ideas and methods






an innovative approach to language teaching-an innovative design team",,0
instantaneous,"فوری، در لحظه






immediate-happening immediately





modern methods of instantaneous communication-Death from a massive heart attack was almost instantaneous.",,0
intangible,"غیرقابل لمس، نامشهود






nonmaterial; immaterial, untouchable





She has that intangible quality which you might call charisma.",,0
integral,"ضروری






essential, forming a necessary part of something





1)Vegetables are an integral part of our diet.2) integral to=Statistics are integral to medical research.",,0
intense,"شدید






strong, having a very strong effect or felt very strongly





The pain was so intense I couldn’t sleep-Young people today are under intense pressure to succeed.",,0
intentionally,"از قصد، عمدا






deliberately





I didn't do it intentionally",,0
intercourse,"تبادل ایده







exchange,an exchange of ideas, feelings etc which make people or groups understand each other better





She seemed tired and unable to keep up with ordinary social intercourse.",,0
intermediate,"متوسط-دانش اموز سطح متوسط در امر ورزش






in-between




(adj) 1. a) an intermediate class, course etc is at a level of knowledge or skill that is between the basic level and the advanced level = a book aimed at students at the intermediate level and above b) intermediate students, sports players etc have reached a level of knowledge or skill that is between the basic level and the advanced level= intermediate learners of English 2 an intermediate stage in a process of development is between two other stages= an intermediate stage during which the disease is dormant. 3. noun [countable] a student, sports player etc who has reached a level of knowledge or skill that is between the basic level and the advanced level = a ski resort suited to beginners and intermediates",,0
intermingle,"با هم مخلوط کردن






interact, intermix





to mix together, or mix something with something else = The pain and the anger were intermingled.",,0
intimate,"صمیمی






1)adjective :familiar, close 2)verb:to make people understand what you mean without saying it directly 3)noun:a close personal friend





1)adjective:1 RESTAURANT/MEAL/PLACE private and friendly so that you feel comfortable the intimate atmosphere of a country pub 2)verb:He intimated, politely but firmly, that we were not welcome.intimate something to somebody",,0
intricate,"پیچیده و با جزییات زیاد






carefully shaped; complex





containing many small parts or details that all work or fit together=an intricate network of canals.intricate patterns (see image)",,0
intrigue,"شیفته کردن






interest, fascinate





if something intrigues you, it interests you a lot because it seems strange or mysterious=Other people’s houses always intrigued her.",,0
intriguing,"جذاب






fascinating




The magazine carries an intriguing mixture of high fashion and racing.",,0
intrinsic,"ذاتی، لازمه






essential; inherent





access to the arts is intrinsic to a high quality of life",,0
intrusive,"آزاردهنده






invasive, causing disruption or annoyance through being unwelcome or uninvited






affecting someone’s private life or interrupting them in an unwanted and annoying way= They found the television cameras too intrusive.",,0
invade,"حمله نظامی کردن-با تعداد د زیاد به جایی وارد شدن--دخیل شدن در کاری ناخواسته






move into, attack a country or region





1 [intransitive, transitive] to enter a country, town, or area using military force, in order to take control of it=The Romans invaded Britain 2,000 years ago.2 [transitive] to go into a place in large numbers, especially when you are not wanted=Every summer, the town is invaded by tourists.3 [transitive] to get involved in something in an unwanted and annoying way=What right does he have to invade my privacy?Patients are given the feeling that they mustn’t try to invade medical territory (=try to deal with things that are not their responsibility).",,0
invaluable,"فوق العاده گرانبها و سودمند






highly useful, very valuable





Your advice has been invaluable to us",,0
invariably,"همواره






always, in every case or on every occasion, constantly






if something invariably happens or is invariably true, it always happens or is true=It invariably rains when I go there.",,0
invent,"اختراع کردن، درست کردن







devise, create or design (something that has not existed before)





Alexander Graham Bell invented the telephone in 1876",,0
inviolable,"مصون، غیر قابل دسترسی و تغییر







allowing no attack; without exception, immune





an inviolable right, law, principle etc is extremely important and should be treated with respect and not broken or removed=Everyone has an inviolable right to protection by a fair legal system",,0
invoke,"درخواست کمک کردن






appeal





1.to ask for help from someone more powerful than you, especially a god=St. Genevieve is often invoked against plagues.2.2 to make a particular idea, image, or feeling appear in people’s minds by describing an event or situation, or by talking about a person =During his speech, he invoked the memory of Harry Truman.",,0
irrecoverable,"غیر قابل جبران، دائمی






permanent, not able to be recovered





Any advance paid would be irrecoverable.",,0
isolated,"جدا شده






separated, far away from other places, buildings, or people; remote





small isolated communities",,0
jettison,"بیرون افکندن، آزادکردن






release, get rid of something





1 to get rid of something or decide not to do something any longer=The scheme was jettisoned when the government found it too costly.2 to throw things away, especially from a moving plane or ship",,0
jointly,"به طور مشترک






combined, in partnership, cooperatively





a report prepared jointly by Harvard and Yale universities",,0
jolt,"شک ناگهانی-تکان شدید--شک دادن-به سختی تکان دادن/خوردن





1)noun: a sudden shock.2)verb: jerk, to move suddenly, to give someone a sudden shock.





(noun)=1. a sudden shock =jolt of=Melanie experienced a jolt of surprise.2.2 a sudden rough shaking movement =People felt the first jolt of the earthquake at about 8 am.(V)1 [intransitive, transitive] to move suddenly and roughly, or to make someone or something move in this way SYN jerk=We jolted along rough wet roads through an endless banana plantation.2 [transitive] to give someone a sudden shock or surprise=The phone jolted him awake.jolt somebody into/out of something=Her sharp words seemed to jolt him out of his depression.",,0
judge,"قاضی، داور، قضاوت کردن، داوری کردن-تخیمن زدن






estimate 1)noun: someone who decides on the result of a competition 2)verb : to decide on the result of a competition






We judge the success of a product by the number of sales it brings in.be difficult/hard to judge=The economic results of the reforms are difficult to judge.",,0
junction,"اتصال






connection-juncture





the junction of Abbot Road and Mill Street",,0
juncture,"محل اتصال دو چیز







connection, junction




1.a place where things join. ""the plane crashed at the juncture of two mountains""2.a particular point in an activity or period of time = At this juncture, I suggest we take a short break. The talks are at a critical juncture (=very important point).",,0
justified,"حق داده شده-تصدیق شده






right, having an acceptable explanation or reason





having, done for, or marked by a good or legitimate reason. ""the doctors were justified in treating her""",,0
justify,"توجیه کردن، حق دادن






prove, give reasons for, give a justification for





the person appointed has fully justified our confidence",,0
justly,"عادلانه






rightly, fairly





we deal justly with complaints",,0
keep tune to,"حفظ کردن، حفظ






maintain, keep",,0
key,"بسیار مهم و ضروری






significant: critical, of paramount or crucial importance




China’s support is key to the success of the coalition",,0
lading,"محموله-بارگیری






cargo: shipment, goods carried by a ship, plane, truck, etc., or the act of putting these goods on the vehicle





bill of lading is a document issued by acarrier that lists goods being shipped andspecifies the terms of their transport",,0
landscape,"چشم انداز-منظره






scenery, a large area of countryside,a view or picture of the countryside, or the art of making such pictures




The garden has been designed to harmonize with the natural landscape.",,0
large,"بزرگ-وسیع





extensive, big





We had to cross a large area of arid, featureless desert.",,0
largely,"تاحد زیادی-به طور عمده





mostly or mainly




1)The state of Nevada is largely desert.2)It had been a tiring day, largely because of all the tedious waiting.",,0
lateral,"جانبی






side




The wall is weak and requires lateral support.",,0
launch,"راه اندازی کردن-شروع کردن





initiate: start, embark





The organization has launched a campaign to raise $150,000.",,0
lax,"سست-اهمال کار






careless, not strict or careful enough about standards of behaviour, work, safety etc





lax in (doing) something=he company has been lax in carrying out its duties.",,0
legitimacy,"حقانی-قانونی بودن--درستی-بر حق بودن





authority, authenticity, validity





The lawyers expressed serious doubts about the legitimacy of military action.",,0
legitimately,"به صورت مشروعی و قانونی





properly, lawfully






Most foreign visitors enter the country legitimately (= legally).",,0
leisure,"اوقات فراغت






free time




1)The town lacks leisure facilities such as a swimming pool or squash courts.2)Most people only have a limited amount of leisure time.",,0
leisurely,"با آسودگی-بدون عجله






slowly, if you do something in a leisurely way, you do it in a slow relaxed way, without hurrying





We enjoyed a leisurely picnic lunch on the lawn.",,0
lethal,"مرگ بار -مهلک






deadly: fateful, fatal





a lethal dose of heroin",,0
liberal,"گسترده در زمینه اموزش






extensive, vast, wide





liberal education=a kind of education which encourages you to develop a large range of interests and knowledge and respect for other people’s opinions;He has received the advantage of a liberal education, and possesses a very extensive degree of legal knowledge.",,0
liken,"مقایسه کردن





to compare, equalize, [formal] to say that someone or something is similar to another person or thing





liken somebody/something to somebody/something=Critics have likened the new theater to a supermarket.",,0
likewise,"همچنین






similarly, in a like manner






Nanny put on a shawl and told the girls to do likewise.",,0
linger,"منتظر ماندن، سرگردان بودن






stroll: wander




1 (also linger on) to continue to exist, be noticeable etc for longer than is usual or desirable a taste that lingers in your mouth Unfortunately the tax will linger on until April. 2 (also linger on) to stay somewhere a little longer, especially because you do not want to leave linger over They lingered over coffee and missed the last bus. I spent a week at Kandersteg and could happily have lingered on. ► see thesaurus at stay 3 [always + adverb/preposition] to continue looking at or dealing with something for longer than is usual or desirable linger on/over Mike let his eyes linger on her face. There’s no need to linger over this stage of the interview. 4 (also linger on) to continue to live although you are slowly dying He surprised all the doctors by lingering on for several weeks.",,0
link,"متصل کردن






connect: consist of: put together





A love of nature links the two poets.",,0
little short miraculous,"چیزی شبیه معجزه





amazing but it is impossible






1)very good, completely unexpected, and often very lucky2)She made a miraculous recovery from her injuries.",,0
livelihood,"معیشت. معاش. وسیله معاش





means of support, living





the way you earn money in order to live=a means/source of livelihood=Fishing is the main source of livelihood for many people in the area. It’s difficult to earn a livelihood as an artist. Bates says he will lose his livelihood if his driving licence is taken away.",,0
locale,"محل. منطقه





place-setting





the place where something happens or where the action takes place in a book or a film=people who see the countryside as a locale for recreation",,0
lucrative,"سودآور. پرمنفعت. سودمند





profitable, beneficial




1)a job or activity that is lucrative lets you earn a lot of money 2)The merger proved to be very lucrative for both companies.",,0
luxuriant,"مجلل. انبوه.وافر پربرکت





thriving, lush





1 growing strongly and thickly= luxuriant black hair, luxuriant vegetation 2 beautiful and pleasant to watch or listen to =the film’s luxuriant visuals",,0
magnify,"بزرگ کردن. زیر ذره بین بزرگ کردن-بزرگ نمایی کردن





enlarge; increase, amplify





1 to make something seem bigger or louder, especially using special equipment At the Sheffield arena, the speakers were magnified ten times on a giant screen. A public address system magnifies all the little noises and coughs. 2 to make something seem more important than it really is SYN exaggerate The report tends to magnify the risks involved. 3 formal to make something much worse or more serious The results of economic mismanagement were magnified by a series of natural disasters",,0
magnitude,"بزرگی.اندازه.مقدار.اهمیت






size; amount; extent, hugeness




1)the great size or importance of something 2)They didn’t seem to appreciate the magnitude of the problem",,0
maintain,"نگه داشتن.حفظ کردن.ادامه دادن





continue, preserve, cause or enable (a condition or state of affairs) to continue





1)to make something continue in the same way or at the same standard as before 2)Careers Officers maintain contact with young people when they have left school.",,0
majestic,"باشکوه.باعظمت





magnificent, glorious, splendid, very big, impressive, or beautiful




1)very big, impressive, or beautiful 2)This lovely village is surrounded by majestic mountain scenery.",,0
make their way,"مسافرت کردن. سیاحت کردن





travel, to go towards something




1)to go towards something, especially when this is difficult or takes a long time 2)The team slowly made their way back to base.",,0
malleable,"نرم و قابل انعطاف






pliable, flexible





1) something that is malleable is easy to press or pull into a new shape 2)malleable steel",,0
manage,"اداره کردن. گرداندن





be able, administer





1)to direct or control a business or department and the people, equipment, and money involved in it 2)He was asked to manage a new department",,0
mandatory,"اجباری. الزامی





obligatory; required, compulsory





1)if something is mandatory, the law says it must be done2) Crash helmets are mandatory for motorcyclists.",,0
manifest,"آشکار ساختن. معلوم مردن. فاش کردن






reveal, to display or show (a quality or feeling) by one's acts or appearance; demonstrate





1)to show a feeling, attitude etc 2) The shareholders have manifested their intention to sell the shares.",,0
manipulate,"دستکاری کردن. اداره کردن






control, manage, handle or control (a tool, mechanism, etc.), typically in a skillful manner





1) to make someone think and behave exactly as you want them to, by skilfully deceiving or influencing them 2)He was one of those men who manipulated people.",,0
marked,"مشخص. علامتدار






considerable: significant, clearly noticeable; evident





1)very easy to notice 2)a marked lack of enthusiasm",,0
markedly,"به طرز محسوسی. به طور قابل توجه ای






distinctly: noticeably, to an extent that is clearly noticeable; significantly





1)in a way that is very easy to notice 2)Johnson and Rivera have markedly different leadership styles.",,0
marvelously,"حیرت آور. عجیب. جالب






حیرت آور. عجیب. جالب





1)extremely good, enjoyable, impressive etc",,0
mask,"/n/ماسک. نقاب. پوشاندن /v/پوشاندن. پنهان کردن.ماسک زدن






1) cover: disguise.2) 2 to hide your feelings or the truth about a situation





1)/n/something that covers all or part of your face, to protect or to hide it .a surgical face mask 2)/v if a smell, taste, sound etc is masked by a stronger one, it cannot be noticed because of the stronger one. Liz turned on a radio to mask the noise.",,0
massive,"عظیمو بزرگو کلان






enormous: huge, vast, large and heavy or solid





The bell is massive, weighing over 40 tons.",,0
mastery,"اربابی. سلطه





control, lordship




She possesses complete technical mastery of her instrument.",,0
materialize,"صودت خارجی به خود گرفتن. جامه عمل بخود پوشیدن





come into being, become actual fact; happen





1)The money we had been promised failed to materialize. 2) Problems were expected, but they never materialized.",,0
matter,"موضوع.ماده





issue, affair





1) a subject or situation that you have to think about or deal with 2)There are important matters we need to discuss.",,0
mature,"رشد کردن.بحد بلوغ یا رشد رسادندن. کامل کردن






develop: get older, be fully grown, reach adulthood




1)She has matured into a fine writer.2) As the fish matures, its colours and patternings change.2)As the fish matures, its colours and patternings change.",,0
maximum,"بیشترین-بیشینه





greatest size, the greatest or highest amount possible





1)to increase something such as profit or income as much as possible 2)The company’s main function is to maximize profit.",,0
mean,"متوسط.میانگین






average, medium, mediocre





The study involved 60 patients with a mean age of 58.2 years.The mean of 5, 4, 10, and 15 is 8.5.",,0
mechanism,"مکانیک. مکانیک ماشین آلات






means, a natural or established process by which something takes place or is brought about





1)part of a machine or a set of parts that does a particular job 2)the brake mechanism",,0
mere subsistence,"minimum survival





1)the condition of only just having enough money or food to stay alive 2)Many of the families are forced to live at the subsistence level.",,0
merely,"فقط. صرفا. همین قدر






no more than: only: simply, just, (used to emphasize how small or unimportant something or someone is)





1)used to emphasize how small or unimportant something or someone is only 2)He’s merely a boy – you can’t expect him to understand.",,0
merge,"ادغام کردن. ترکیب کردن





blend: combine, to combine, or to join things together to form one thing





The bank announced that it was to merge with another of the high street banks.",,0
merit,"/n/ شایستگی. لیاقت. استحقاق. /v/سزاوار بودن. اسنحقاق داشتن






1)[n] worth,an advantage or good feature of something.2)[v] to be good, important, or serious enough for praise or attention.





1)The film has the merit of being short. 2)The results have been encouraging enough to merit further investigation.",,0
meticulously,"با دقت بسیار






carefully, minutely





The entire project was meticulously planned.",,0
milestone,"نقطه عطف , رویداد مهم






significant event, landmark





1)a very important event in the development of something 2)an important milestone in South African history",,0
mimic,"/n/مقلد /v/تقلید کردن.





copy: imitate





1)/n/a person who can copy the sounds or movements of other people . She's a brilliant mimic. 2)/v/ to copy the way someone speaks or behaves, especially in order to make people laugh. He could mimic all the teachers’ accents.",,0
miniature,"کوچک. کوتاه






small, tiny, minuscule





1)much smaller than normal. miniature roses",,0
minuscule,"خیلی کوچک






extremely small, tiny, miniature





a minuscule amount of food",,0
minute,"بسیار کوچک






very small: tiny, minuscule, miniature





You only need a minute amount.",,0
minutely,"بطور دقیق






finely: in detail, meticulously





to examine something minutely",,0
mirror,"منعکس کردن






reflect, show a reflection of




1)if one thing mirrors another, it is very similar to it and may seem to copy or represent it syn reflect 2) Henry’s sad smile mirrored that of his son.",,0
misconception,"تصور غلط





wrong idea, misunderstanding





1)an idea which is wrong or untrue, but which people believe because they do not understand the subject properly . 2)There is a popular misconception that too much exercise is bad for you.",,0
misleading,"گمراه کننده






erroneous: inaccurate: unreliable, giving the wrong idea or impression





1) likely to make someone believe something that is not true 2)The article was misleading, and the newspaper has apologized.",,0
misunderstanding,"سوء تفاهم. اشتباه فهمیدن






false idea, misconception




1)a problem caused by someone not understanding a question, situation, or instruction correctly 2) There must have been some misunderstanding. I didn’t order all these books.",,0
mock,"/n/ساختگی/adj/ تقلیدی /v/ تقلید در آوردن. مسخره کردن. دست انداختن






pretend




1)/n/ an examination taken at school for practice before a real examination. You will have your mocks during the first two weeks of March. 2) /adj/not real but appearing or pretending to be exactly like something. mock cream.3)/v/ SLIGHTLY FORMAL to laugh at someone, often by copying them in a funny but unkind way. They were mocking him because he kept falling off his bike. She made fun of him by mocking his limp.",,0
moderate,"/adj/معتدل.میانه رو/v/پوشاندن. پنهان کردن.ماسک زدن






temperate, mediocre, mild





1)/adj/not very large or very small, very hot or very cold, very fast or very slow etc. Even moderate amounts of alcohol can be dangerous.2)/v/to make something less extreme or violent, or to become less extreme or violent .The students moderated their demands.",,0
mode,"سبک. طرز. طریقه






manner, style, method





Each department in the company has its own mode of operation and none of them are compatible.",,0
modest,"نسبتا کم






limited: small, relatively moderate (of an amount, rate, or level of something)





1)	not large in size or amount, or not expensive. They live in a fairly modest house, considering their wealth.",,0
modestly,"ساده. تواضع. با فروتنی






humbly




1)At just £9, the training video is very modestly priced . 2)She was dressed modestly.",,0
modification,"اصلاح، پیرایش، تعدیل






alteration, amendment





We’ve made one or two modifications to the original design.",,0
modify,"تغییر دادن






change, alter, amend





We can modify the design to make it suitable for commercial production.",,0
momentous,"بسیار مهم







significant, of great importance, especially in its bearing on the future





a momentous shift in policy",,0
monitor,"نظارت کردن






observe, check the progress or quality of (something) over a period of time





The government is monitoring the situation closely.",,0
monopolize,"انحصاری کردن، به خود اختصاص دادن، به دیگران مجال ندادن






dominate





He monopolized the conversation all evening.",,0
monopoly in,"انحصار







domination




It is not good for consumers if one company has a monopoly in any area of trade.",,0
monotone,"یکنواخت و خسته کننده







tedious: boring, a continuing sound, especially of someone's voice





He answered all the lawyer’s questions in a dull monotone",,0
monumental,"عظیم، زیاد






giant: significant, great in importance, extent, or size






There was a monumental traffic jam on the freeway.",,0
moreover,"علاوه بر این، به اضافه






additionally: in addition, furthermore





The rent is reasonable and, moreover, the location is perfect.",,0
motif,"الگو، طرح







pattern, a decorative design or pattern




he was wearing a plain white T-shirt with a fish motif in blue and green.",,0
mount,"بالا رفتن، صعود کردن، سوار شدن






grow: climb: increase, climb up (stairs, a hill, or other rising surface)





Tension here is mounting, as we await the final result.",,0
mundane,"عادی، معمولی، پیش پا افتاده، دنیوی







material: ordinary, lacking interest or excitement





The mundane task of setting the table can be fun on holidays.",,0
mutually exclusive,"متناقض






contradictory





This is the case of choosing from among mutually exclusive projects with widely differing costs.",,0
myriad,"فراوان، هزاران






countless: innumerable: numerous, extremely great in number.





There are myriad ways to help children learn to read.",,0
narrow,"محدود کردن







limit, restrict, confine, curb [v]




Growing competition for contracts will narrow profit margins.",,0
nature,"طبیعت، ذات







character, disposition, temperament





a child with a happy, easy-going nature",,0
nearly,"تقریبا





almost, closely, approximately




He's nearly six feet tall.",,0
necessary,"لازم-ضروری-واجب






required





1) The booklet provides all the necessary information about the college. 2) The police are advising motorists to travel only if their journey is absolutely necessary.",,0
needless to say,"اشکار است، نیاز به توضیح نیست







obvious,used when you are telling someone something that they probably know or expect




Needless to say, any contributions of money will be gratefully received.",,0
nevertheless,"با این وجود





however: in spite of





What you said was true. It was, nevertheless, a little unkind.",,0
nocturnal,"شبانه-حیواناتی که در شب فعالیت میکنند







nighttime1) [formal] happening at night .2)an animal that is nocturnal is active at night




1)Hamsters are nocturnal creatures. 2) Rebecca paid a nocturnal visit to the flat.",,0
notable,"قابل توجه-مهم







important: outstanding





1) notable feature/example=A notable feature of the church is its unusual bell tower.2) notable achievement/success/victory=Every country in the world signed the treaty, with one notable exception – the United States.",,0
notably,"ویژه-به ویژه-به خصوص







especially1) used to say that a person or thing is a typical example or the most important example of something 2)formal in a way that is clearly different, important, or unusual





1)Some early doctors, notably Hippocrates, thought that diet was important.2)Emigration has notably increased over the past five years.(significantly)",,0
note,"ضبط کردن-نوشتن






record,something that you write down to remind you of something





1)Dave made a note of her address and phone number.2)Keep a careful note of any problems you have with the software.",,0
noticeable,"قابل توجه-برجسته






obvious






It was noticeable that many of them avoided answering the question.",,0
notion,"ایده







idea, vision




1)She had only a vague notion of what she wanted to do.2) She had no notion what he meant.3) accept/challenge/reject etc= a notion They reject the notion of group guilt.",,0
notwithstanding,"علی رغم-با وجود اینکه






despite: nevertheless




1)Notwithstanding differences, there are clear similarities in all of the world’s religions.2) Fame and fortune notwithstanding, Donna never forgot her hometown.",,0
novel,"جدید






new



novel idea/approach/method etc = What a novel idea!



adjective [usually before noun]",,0
now and then,"گاهی اوقات






occasionally





(every) now and then/now and again=I hear from him every now and then.",,0
objective,"هدف






purpose, target, aim, goal




He vowed to achieve certain objectives before the end of his presidency.



noun [countable]",,0
oblige,"وادار کردن-مجبور کردن





require: force,if you are obliged to do something, you have to do it because the situation, the law, a duty etc makes it necessary





oblige somebody to do something=The minister was obliged to report at least once every six months.",,0
obscure,"مبهم کردن-تیره کردن-پنهان کردن






1) to make something difficult to know or understand 2) conceal, to prevent something from being seen or heard clearly




1)Recent successes have obscured the fact that the company is still in trouble.",,0
obscure,"مبهم-گمنام--تیره






1)not well known and usually not very important,2)unclear,difficult to understand





1)The details of his life remain obscure.2)For some obscure reason, the group is very popular.",,0
obsession with,"obsession

فکر دائم-وسواس-علاقه مندی وافر و بیش از اندازه





fixation on,something or someone that you think about all the time:




1)The current obsession with exam results is actually harming children’s education.2) an unhealthy obsession with being thin",,0
obtain,"بدست اوردن ،فراهم کردن ،گرفتن






acquire




Maps and guides can be obtained at the tourist office.",,0
obvious,"بدیهى ،اشکار،مشهود






evident, clear





The obvious way of reducing pollution is to use cars less.",,0
obviously,"بطور اشکار یا معلوم ،بدیهى است که






clearly, apparently





We’re obviously going to need more help.",,0
occasion,"فرصت مناسب ،موقعیت، پیشامد






event, moment, occurrence





Thanksgiving is a really big occasion in the States.",,0
occasionally,"گهگاه ،گاه و بیگاه ،بعضى از اوقات







once in a while




He lives in Australia now, so we only see him very occasionally.",,0
of legitimacy,"مشروع ،مجاز، مشروعیت







lawful",,0
of likelihood,"محتمل ،باور کردنى ،امر احتمالى، احتمال






probable",,0
offset,"جبران کردن، موازنه کردن






1)balance 2)compensate 3)make up 4)counterbalance





The impact of the savings this year will be offset by investments in several businesses.",,0
old male,"?مرد سالمند






aged male",,0
omit,"حذف کردن، از قلم انداختن






1)neglect 2)exclude





Please don’t omit any details, no matter how trivial they may seem.",,0
on the contrary,"بر خلاف، در حالیکه






1)on the other hand 2)whereas






‘I suppose your wife doesn’t understand you.’ ‘On the contrary, she understands me very well.’",,0
on the whole,"در کل، به طور عمده






1)in general 2)mainly




On the whole, I thought the film was pretty good.",,0
ongoing,"جارى، در دست اقدام






current




We all pass through this life as damaged goods, and the repair work is ongoing.",,0
onset,"شروع






1) start 2)beginning, (especially something unpleasant)





An active and healthy lifestyle can delay the onset of disease in later life.",,0
opaque,"غیر شفاف ،مبهم ،کدر، مات، پوشیده






impenetrable, impermeable, impervious, not able to be seen through





It was a foggy, chilly day, without sunshine so the sea was murky and opaque.

adj [usually before noun]",,0
optimal,"بهینه






1)most advantageous 2)ideal , best or most favorable; optimum





To make the optimal decision, I visually scan as many as possible of the various alternatives.",,0
option,"گزینه ،انتخاب





choice, alternative





Working full-time may not be your best option.",,0
orchestrate,"هماهنگ و موزون کردن، اداره کردن






stage-manage






Treasury officials are trying to orchestrate a sharp decline in the dollar.",,0
orientation,"گرایش ،جهت






1)perspective 2) introduction





The company needs to develop a stronger orientation towards marketing its products.",,0
originally,"دراصل ،دراغاز کار،در ابتدا






at the first




The family originally came from France.",,0
originate from,"آمده به وجود از، نشات گرفته از






come into existence from





A lot of our medicines originate from tropical plants.",,0
ornament,"تزئین، زینت






decorate





Thieves stole all the silver and gold ornaments from the palace.",,0
ornamental,"زینتی





decorative





A gardener comes in each week to trim the ornamental trees and bushes.",,0
ornamentation,"پیرایش







decoration





It is used in domestic castings - such as fireplaces - often with intricate ornamentation.",,0
